"","AGO","BDI","BEN","BFA","BWA","CAF","CIV","CMR","COD","COG","DJI","ERI","ETH","GAB","GHA","GIN","GMB","GNB","GNQ","KEN","LBR","LSO","MDG","MLI","MOZ","MRT","MWI","NAM","NER","NGA","RWA","SDN","SEN","SLE","SOM","SSD","SWZ","TCD","TGO","TZA","UGA","ZAF","ZMB","ZWE"
"LBR",0.0146028985766812,0.0100498242793937,0.0307334153021621,0.0383344539416514,0.00874219239093009,0.0141170348502512,0.0756274193615722,0.0185324523524542,0,0.0147661950402716,0.00774342455056093,0.00836464459287459,0.00841254449330073,0.0197073459975166,0.0394546478947383,0.0708043941539482,0.0450403302145092,0.056396856355952,0.0210513399300544,0.00860000599369835,0,0.00808231617019924,0.00660282800246968,0.0599599792307572,0.00780486750787145,0.0321836930953086,0.0085023006558537,0.0104158064012105,0.0284367530450475,0.0229968697489164,0.0099492980855693,0.00953298086858389,0.0391061725964209,0.125226317550692,0.00737626155125731,0.0101558652997466,0.00794094559281315,0.0158812641865274,0.0343570062047714,0.00860968085513389,0.00947738325229173,0.00834296154462415,0.00932417083557709,0.00865285744583624
"LSO",0.0196917751225587,0.0185116695461016,0.0112027646576412,0.00957975308428939,0.100829996180826,0.0138515773933774,0.0100424729580379,0.0131789287536613,0,0.0174198927136864,0.0110375315223636,0.0104694381477077,0.0120679272265229,0.0140177408054309,0.0109720529823637,0.00845946109479868,0.00797658809760608,0.00822547453697262,0.0128014219574377,0.0163682314403347,0.00940268204223915,0,0.0229252016296861,0.00888917543778838,0.0856194217323601,0.0076033177835724,0.0293023059011094,0.0418222304945346,0.00975231597565013,0.0111479303717911,0.0175116845840617,0.0106680082190707,0.00779869409941902,0.00883459464967822,0.0134823876987429,0.0139201497988491,0.109549289595026,0.011144308921752,0.0110741149455362,0.0197130708548874,0.016023253269366,0.132063522486878,0.0347151230946738,0.0403325181916094
"MDG",0.0212256796720949,0.0311893255401845,0.0144697880301587,0.0127648875391354,0.03527245276922,0.020026387345215,0.0126836553569599,0.017484261446327,0,0.02118084338022,0.0239100935799651,0.0208774639231689,0.0251970301954823,0.0174975197996698,0.0138832829210739,0.0107448709779384,0.0103644784466197,0.0105992975768595,0.0166083359375196,0.0359595929868746,0.011736973508777,0.0350286491154231,0,0.0116561208208449,0.0474821450774241,0.0101488990373255,0.0525338787917074,0.0256996757511272,0.0133168583789223,0.0151184646062227,0.0305904020238227,0.0196502079847762,0.0101913129377794,0.0111703527067553,0.0350195339944426,0.0259048696230894,0.043703498636723,0.0164891510839198,0.0141739926718667,0.0430235250673383,0.0304634007930375,0.0385424043865316,0.0393866304559069,0.0470298051215495
"MLI",0.0139886319936444,0.0104376410777847,0.0343334972061193,0.0682261529640696,0.00843753139174127,0.0152934930386959,0.065583843126548,0.0198785300388377,0,0.0147348389043275,0.00844010580460614,0.00926681054306941,0.0091471406519656,0.0198956296716237,0.0403821432904806,0.0512872844330294,0.0496898515879283,0.0559271621926539,0.0223688540316829,0.00904076034928508,0.0610468232304,0.0077794189035959,0.00667620241831943,0,0.00762944959750454,0.044603158784132,0.00855724462494038,0.00980819230054469,0.0428106912734032,0.0275791626393539,0.0104052151777983,0.0107092938356746,0.0447955387789904,0.0631703326630486,0.00782592595884058,0.0115028773367687,0.00773572491279953,0.0187868515094012,0.0373996985316115,0.00889755518228698,0.0100174434262667,0.0080844767693948,0.00924311274653568,0.00857570710029487
"MOZ",0.0150088578334314,0.016514944831987,0.00866580855663076,0.00742232802046424,0.0613186903908801,0.0113386658275994,0.00765103132760862,0.0104289346546133,0,0.0137715374352017,0.00967459882614751,0.00902489807688973,0.0106024295520687,0.0109054636510931,0.00841051301818043,0.00640418037857599,0.00607432965496995,0.00625280144979675,0.0100218866178272,0.0150602716901013,0.00710639507293006,0.0670100880106887,0.0243213682626124,0.00682300085986597,0,0.00583415951073191,0.0312562719014524,0.0259715928695304,0.00762664262500906,0.00877071502883956,0.0155997856731102,0.00907616349834016,0.00594575809459144,0.00668963260337171,0.012313825965559,0.0168206951478323,0.27865946353527,0.00901393126051375,0.00853072375410029,0.01881724152159,0.0143274639600335,0.095790133237139,0.0335046061683163,0.0456381696445043
"MRT",0.0126796664693309,0.010112133344964,0.0231041408184741,0.0334656429557451,0.00845931810153254,0.0137200356233135,0.0325419859924367,0.0164427234849207,0,0.0131649619450133,0.00874156929200857,0.00955460969830291,0.00929992039997523,0.0163551917754639,0.0252221843305353,0.0579826257483953,0.10589057250956,0.0796057173152455,0.017763121101492,0.00903428310745766,0.038944149359335,0.00790849003064116,0.00690874456982728,0.0530115332213133,0.00775355425205795,0,0.00853812770591726,0.00963258103699932,0.0278880524893868,0.020717479534238,0.0101070101158196,0.0108017606777249,0.132007710600313,0.050097768742561,0.00805504478852665,0.0114886483086745,0.00784953332791618,0.0164594717866717,0.0241814603506318,0.00886366051627742,0.00984073973098166,0.00815523928242443,0.00909989734303213,0.00854893821456191
"MWI",0.0220152836613474,0.0398290764350634,0.0123791922159596,0.0104246920825038,0.0349444394451988,0.0192727602718244,0.0103998298847618,0.0161165727180874,0,0.0220623876884683,0.0168356940632404,0.0153995382317436,0.019438611838556,0.0162901983457927,0.0117274631165677,0.00840509487241258,0.00802965059971027,0.00825988223180046,0.0150138037516963,0.0351322478255085,0.00940436759780837,0.0278598658654331,0.0326893636186601,0.00929662879307142,0.0379705162132433,0.00780457827139522,0,0.0253860352880715,0.0109621129899111,0.013026755301311,0.0363549826359736,0.0154940939484241,0.00786133418996758,0.00882776614725341,0.0232783731039238,0.0250780062461728,0.0362744445760243,0.0142536681946345,0.0120487480600639,0.0570557012386996,0.0318948269188236,0.0355341814919254,0.0821344587016481,0.0975327713273166
"NAM",0.0408569272988836,0.0257600026648335,0.0180073451551933,0.0147294296789548,0.0694746247045973,0.0215280884953925,0.0158530048524732,0.0215413376110301,0,0.0315413451058816,0.0136240810214522,0.0133607011856284,0.0152440817084074,0.0240712728707496,0.0176926860015839,0.0127936718041582,0.0118817134608792,0.0123451417939067,0.0211004205220181,0.0202826736448748,0.0146241979409791,0.0504743150228715,0.020299281288646,0.0135259112816915,0.0400492078991212,0.0111767486648955,0.0322241075857518,0,0.0149053834280945,0.0174996840026963,0.0240386506952579,0.0141711629524401,0.011554961948173,0.0135072851574198,0.0157318669881903,0.0191172673109369,0.0436567013894644,0.0166993970131881,0.0178206913439178,0.0238803787231226,0.0211928223568572,0.054693013298067,0.0457040010902434,0.0417644130370756
"NER",0.0166436261595112,0.0130357071290659,0.0587912522457037,0.108008150487229,0.00927562298882907,0.0222148500939196,0.0420712165459325,0.0309252216384521,0,0.0188458765288475,0.0103650027288003,0.0116567332592948,0.011451434080447,0.0276575255898509,0.0500106181013569,0.0232227170391603,0.0228141378943107,0.0239116239102795,0.0351527900260317,0.0110804523321302,0.0285486612575238,0.00841584232571493,0.00752110033438557,0.0422139883969265,0.00840921244843046,0.0231375613997354,0.00994962876928826,0.0106578532446021,0,0.0627723787374082,0.0130782064724922,0.0140748004375353,0.0218991461308279,0.0261398025117441,0.00938075726670485,0.0165128886439214,0.00850366607309545,0.0328458282783855,0.0561306628827919,0.0107103112428376,0.0126055629555883,0.00887980722029115,0.0106862927646368,0.00979148142597998
"NGA",0.0203842470779726,0.0152571908226984,0.0758783367151479,0.0419469033000319,0.0100509418680287,0.031407739612226,0.0308634226756404,0.0564775807438042,0,0.0247730963362682,0.010927355255626,0.012274033767069,0.0123946679978835,0.0426788272123258,0.0472170537755738,0.0171548520364104,0.0163216215982071,0.0171487300672533,0.06836590989567,0.0123576156546041,0.0215258673625996,0.00896954198544341,0.00796110738677975,0.0253554554049032,0.00901660661000692,0.0160259029703279,0.0110238945828592,0.0116665644193303,0.0585268000572301,0,0.0152650167220356,0.0151570978844923,0.0156947590098209,0.0191589173612697,0.0100274584549979,0.0162725244070138,0.00912279827146515,0.0470259951157807,0.059532946023874,0.0119753726143926,0.0144539383903791,0.00957110507536746,0.0119876693957869,0.0108025340814022
"RWA",0.0188124384831107,0.210519388360208,0.0119414466266003,0.00984212188334938,0.0146974000965161,0.0260513880726659,0.00936702497263467,0.0175317217350912,0,0.0227162126967005,0.0181398410170166,0.0176007810553548,0.02426077643108,0.0163877763388913,0.0109160275144438,0.00724186633981775,0.00697513346051489,0.00717225555866391,0.0154748512734347,0.0501060297048266,0.00818536878783625,0.0123839109295411,0.0141580960103229,0.00840804987059357,0.0140955045806936,0.00687166793752222,0.0270406179245295,0.0140856449635865,0.0107173708024393,0.0134168683472021,0,0.0192875176111695,0.00682778358620761,0.00765875861949189,0.0215672478558857,0.0483319905063688,0.0139416574225843,0.0165481190806742,0.0114274147047955,0.0481697019762838,0.100535237119559,0.0142679789387022,0.0249447551582475,0.0213742556448419
"SDN",0.0184208649426051,0.0297445275285072,0.0186910299600436,0.0171276233955993,0.0139801482951365,0.0323084940433397,0.0149981242653223,0.0240196478318065,0,0.0218055469303351,0.0516493290902461,0.0931650851557981,0.0637565932987109,0.0208241977616875,0.0169377266694648,0.0120400315084661,0.0119973162318783,0.0121754257403179,0.0218110870499455,0.0328642455849329,0.0131432658198996,0.0126427629996816,0.0152410743475047,0.0145021973058666,0.0137433645899818,0.0123072997142242,0.0193129055621658,0.0139155669268832,0.0193290751594411,0.0223253713183094,0.0323225113984694,0,0.0118485682193593,0.0126023020223112,0.0308391840662057,0.0507473483875154,0.0136158681500984,0.0328577486572932,0.017841478539092,0.0259932812099824,0.0374967813890896,0.0137512040736038,0.0182284220150876,0.0170753728437904
"SEN",0.00939689338376436,0.00726707069694956,0.0168238559676483,0.023278299967131,0.00624985057052442,0.00977421460828216,0.0253026322412819,0.0118396606304585,0,0.0096349793936446,0.00612896295903801,0.00665636305020557,0.00653837024966781,0.0119832359062181,0.0188142153778335,0.067010997739687,0.257766335191936,0.110295607168764,0.0128712341459974,0.0064484877335023,0.0341295985136039,0.00585048455919469,0.00500368387943852,0.0383989223261646,0.00569913952758927,0.0952091793703015,0.00620281726919509,0.00718249328687495,0.0190373856289093,0.0146335125318436,0.00724302202083527,0.00750027470354964,0,0.0490316416192347,0.00571537360141403,0.00779659603090104,0.00577794595323967,0.0114224186991474,0.0177765424735576,0.00637156474267239,0.00701775383216517,0.00601579878501263,0.00665318663310218,0.00624939702951833
"SLE",0.0118017016593552,0.00845785382784118,0.0232378759783328,0.0309609666588151,0.00736579563488051,0.0116744365930837,0.0460102709976025,0.0148725239700793,0,0.0119721521478985,0.00671263141116379,0.00725983975338128,0.00724825083200825,0.0155271090646212,0.0281195753472213,0.142950905494655,0.0625343607478914,0.0911212426697365,0.0166105265623402,0.00732902743863848,0.112874189353541,0.00684494160644735,0.00566421566730382,0.055925593709101,0.00662243170796316,0.037317373918454,0.0071937727808636,0.00867137454918927,0.0234690546123153,0.0184492223167255,0.00839095917809687,0.00823899706290956,0.0506395224920682,0,0.00635623321245928,0.00862680258123006,0.00673085330407148,0.0133060054982075,0.025378878650162,0.00730987308433007,0.00803815068333443,0.00705035144717132,0.0078320161582575,0.00730213963625135
"SOM",0.0178608983005898,0.0356848570767655,0.0141443390324688,0.0126558019781699,0.0184254951627978,0.0225249100467422,0.0119078682678828,0.0178363162834923,0,0.0196311170936707,0.0615031639673425,0.0409149499736761,0.0631759991729058,0.016781411206867,0.0132277113721721,0.00987088706229859,0.00968375599832966,0.0098576735887126,0.0165154635847789,0.0660386194827089,0.010756316641749,0.0168996677832724,0.0287284035920009,0.011208859105586,0.0197213422035394,0.00970708619899664,0.0306892840710899,0.0163391093323073,0.0136257189888723,0.0156216249711079,0.0382275259346281,0.0326178686623218,0.00954961863725974,0.0102831947145763,0,0.0430056164992415,0.0191486365739516,0.0190089689046951,0.0136950749290637,0.0478044375245728,0.0468685514435822,0.0186640129521213,0.0248088614618446,0.0247789802212472
