iso3,annee,z_conflits,lag_z,cluster
SOM,1999,0.6040634649193074,-0.338312852229129,NS
SSD,1999,-0.4553936831140557,-0.03955595384270273,NS
SWZ,1999,-0.4553936831140557,-0.4247227825116751,NS
TCD,1999,-0.09624428383150174,-0.3133085371178712,NS
TGO,1999,-0.4553936831140557,-0.45539368311405565,NS
TZA,1999,-0.4474882624784948,0.23093978646705013,NS
UGA,1999,0.3988808951559418,-0.2776944154956915,NS
ZAF,1999,-0.3940518819092945,-0.427614906375853,NS
ZMB,1999,-0.4553936831140557,-0.025993158312522247,NS
ZWE,1999,-0.4331136565608066,-0.4142467960979101,NS
AGO,2000,1.5232820218214398,0.20748774990824698,NS
BDI,2000,4.913961185439206,-0.25627474656071597,NS
BEN,2000,-0.48986574775001857,-0.4698297767393226,NS
BFA,2000,-0.48986574775001857,-0.46799211267878327,NS
BWA,2000,-0.48986574775001857,0.03410354275017502,NS
CAF,2000,-0.40189254672894914,-0.14187168588321883,NS
CIV,2000,-0.3759763466518589,-0.19499109850649934,NS
CMR,2000,-0.3994413595422632,-0.37515069313410193,NS
COD,2000,0.21090725581788916,0.4974502457004935,NS
COG,2000,-0.48986574775001857,0.0885979247236196,NS
DJI,2000,-0.48986574775001857,0.3236784442106102,NS
ERI,2000,0.7677356090979222,-0.10783882646108314,NS
ETH,2000,-0.12037872067670169,0.033439376653136996,NS
GAB,2000,-0.48986574775001857,-0.45972428501410006,NS
GHA,2000,-0.4725133384207668,-0.451902614050632,NS
GIN,2000,0.42858946622342176,0.3050783255927772,NS
GMB,2000,-0.48986574775001857,0.21936460171696484,NS
GNB,2000,0.022981316569467548,0.3239770339701933,NS
GNQ,2000,-0.48986574775001857,-0.4446535536461409,NS
KEN,2000,-0.2948681639914303,0.03555196745172365,NS
LBR,2000,0.048699875164885484,0.8192931246929285,NS
LSO,2000,-0.48986574775001857,-0.4826295728143985,NS
MDG,2000,-0.48986574775001857,0,NS
MLI,2000,-0.48986574775001857,-0.19960325366025464,NS
MOZ,2000,-0.48986574775001857,-0.4830042923680189,NS
MRT,2000,-0.48986574775001857,-0.13525057301652688,NS
MWI,2000,-0.48986574775001857,-0.47855489529789264,NS
NAM,2000,1.5648426819587582,-0.07900244737732737,NS
NER,2000,-0.48986574775001857,-0.3698023224151326,NS
NGA,2000,-0.40972186370723457,-0.3372163400401682,NS
RWA,2000,-0.48986574775001857,1.3730251064183843,LH
SDN,2000,0.28672798904347074,-0.04281878223522394,NS
SEN,2000,0.21936460171696484,-0.2036052920914333,NS
SLE,2000,2.405266254507223,0.23864467069415363,NS
SOM,2000,0.4207723212688966,-0.207623442334066,NS
SSD,2000,-0.48986574775001857,0.08959892427178986,NS
SWZ,2000,-0.48986574775001857,-0.48624766028220856,NS
TCD,2000,0.03030749488162756,-0.28283870573699904,NS
TGO,2000,-0.48986574775001857,-0.4840816113069346,NS
TZA,2000,-0.48986574775001857,0.4701959469735536,NS
UGA,2000,0.8570977321664605,-0.3107116302847194,NS
ZAF,2000,-0.4826295728143985,-0.14741434279855573,NS
ZMB,2000,-0.455933190393641,0.10621290260599928,NS
ZWE,2000,-0.48986574775001857,-0.0706903153498637,NS
AGO,2001,1.809206105432886,-0.28162472021207197,NS
BDI,2001,5.0340777905965455,0.05592082548454852,NS
BEN,2001,-0.45363565036371417,-0.4219022220972497,NS
BFA,2001,-0.45363565036371417,-0.4428222439841576,NS
BWA,2001,-0.45363565036371417,-0.42555765579334626,NS
CAF,2001,1.2984022104465331,-0.14129152011517543,NS
CIV,2001,-0.40895408411688366,0.12420199913933973,NS
CMR,2001,-0.4006336509909619,-0.07511699957564688,NS
COD,2001,0.03314868164876515,0.8314008442593223,HH
COG,2001,-0.33071994239156616,0.4572975392347017,NS
DJI,2001,-0.45363565036371417,-0.30628751217199646,NS
ERI,2001,-0.45363565036371417,-0.04135751848466826,NS
ETH,2001,-0.1589393739802787,-0.06125832381945419,NS
GAB,2001,-0.45363565036371417,-0.3949964145820807,NS
GHA,2001,-0.43343677833320543,-0.43874179494810395,NS
GIN,2001,-0.26670918442067315,0.30780462060008285,NS
GMB,2001,-0.45363565036371417,2.188616746482909e-5,NS
GNB,2001,-0.45363565036371417,-0.13334364912660415,NS
GNQ,2001,-0.45363565036371417,-0.427134650677338,NS
KEN,2001,-0.2275419825808227,0.022511243889638363,NS
LBR,2001,2.2284272591780057,0.08631356485392722,NS
LSO,2001,-0.45363565036371417,-0.45363565036371417,NS
MDG,2001,-0.45363565036371417,0,NS
MLI,2001,-0.45363565036371417,-0.33942472224353903,NS
MOZ,2001,-0.45363565036371417,-0.4215144685267125,NS
MRT,2001,-0.45363565036371417,-0.22680688209812466,NS
MWI,2001,-0.45363565036371417,-0.40071605257622084,NS
NAM,2001,-0.45363565036371417,0.021395096451900145,NS
NER,2001,-0.45363565036371417,-0.3744039831745125,NS
NGA,2001,-0.32670193729785624,-0.3730789948004885,NS
RWA,2001,0.5078343324280562,1.2649902985430606,HH
SDN,2001,0.48850246888998805,0.009556101651052445,NS
SEN,2001,2.188616746482909e-5,-0.41625035717510606,NS
SLE,2001,0.9346039630993385,0.9808590373786663,NS
SOM,2001,0.732396521865252,-0.1932406782805507,NS
SSD,2001,-0.45363565036371417,0.2999212106623822,NS
SWZ,2001,-0.45363565036371417,-0.45363565036371417,NS
TCD,2001,-0.1844110274835637,0.12118668813679775,NS
TGO,2001,-0.45363565036371417,-0.44690269302021124,NS
TZA,2001,-0.3732205376231758,0.5538638513966815,NS
UGA,2001,0.36595525955010855,-0.10268303129817827,NS
ZAF,2001,-0.45363565036371417,-0.4479742674204591,NS
ZMB,2001,-0.37529196974177265,-0.0956344630875707,NS
ZWE,2001,-0.4196673527041842,-0.4379669142393259,NS
AGO,2002,0.7139511430802977,0.2514554414189557,NS
BDI,2002,4.846425171883152,-0.20486896175098387,NS
BEN,2002,-0.4705650807689774,-0.4412701997426077,NS
BFA,2002,-0.4705650807689774,-0.32809769841054603,NS
BWA,2002,-0.4705650807689774,-0.41951256636229545,NS
CAF,2002,0.5885731910746277,0.13571797385407353,NS
CIV,2002,0.33859046243045443,0.15420389937984208,NS
CMR,2002,-0.4705650807689774,0.09907267173451195,NS
COD,2002,0.3265232762850032,0.7763903086486945,HH
COG,2002,1.4382276245861496,0.1375834897803948,NS
DJI,2002,-0.4705650807689774,-0.18847710380486374,NS
ERI,2002,-0.4705650807689774,-0.08280601225541077,NS
ETH,2002,0.09361087315924994,-0.07084639092765474,NS
GAB,2002,-0.4705650807689774,0.16569915434939825,NS
GHA,2002,-0.4535584717687324,-0.2008465663691668,NS
GIN,2002,-0.4705650807689774,0.2727147450397066,NS
GMB,2002,-0.4705650807689774,0.002742164123386957,NS
GNB,2002,-0.4705650807689774,-0.23391145832279522,NS
GNQ,2002,-0.4705650807689774,-0.4705650807689774,NS
KEN,2002,-0.4168249471240004,0.34199647098654806,NS
LBR,2002,2.6076310690239635,-0.17738727469701498,NS
LSO,2002,-0.4705650807689774,-0.4485560494848743,NS
MDG,2002,0.12133235897555382,0,NS
MLI,2002,-0.441922938818066,-0.25682128275367805,NS
MOZ,2002,-0.4705650807689774,-0.46689690888829355,NS
MRT,2002,-0.4705650807689774,-0.21959038734733952,NS
MWI,2002,-0.4705650807689774,-0.4705650807689774,NS
NAM,2002,-0.28836405442635266,-0.22926002974230175,NS
NER,2002,-0.4705650807689774,-0.37485754481435435,NS
NGA,2002,-0.3533855566634988,-0.387386077339796,NS
RWA,2002,-0.4705650807689774,1.4962448344222783,LH
SDN,2002,0.1285361708434951,-0.07935903287126583,NS
SEN,2002,0.002742164123386957,-0.4648366523787951,NS
SLE,2002,-0.400187205752522,1.068532994127493,NS
SOM,2002,1.2749056730215091,-0.16160703698237525,NS
SSD,2002,-0.4705650807689774,0.3338357557547186,NS
SWZ,2002,-0.4705650807689774,-0.4595605651269259,NS
TCD,2002,-0.13784906705225197,-0.11548127125666616,NS
TGO,2002,-0.4705650807689774,-0.46489621110222906,NS
TZA,2002,-0.4705650807689774,0.5195573935322726,NS
UGA,2002,1.2825959702899359,-0.30039938262918586,NS
ZAF,2002,-0.4485560494848743,-0.4401982430452066,NS
ZMB,2002,-0.4705650807689774,-0.20008937986324235,NS
ZWE,2002,-0.4705650807689774,-0.42972306924363185,NS
AGO,2003,0.2786984620940175,-0.14077787736359723,NS
BDI,2003,4.6929683758348375,-0.247197268972018,NS
BEN,2003,-0.4184602080046008,-0.37672326451998417,NS
BFA,2003,-0.4184602080046008,-0.30075621553249815,NS
BWA,2003,-0.4184602080046008,-0.4108910139469374,NS
CAF,2003,0.00914074053061296,-0.02426427437016375,NS
CIV,2003,0.2877637468280152,0.3199720817256445,NS
CMR,2003,-0.4184602080046008,-0.19428505973103594,NS
COD,2003,0.09532860909314772,0.5687264363618183,NS
COG,2003,0.17848029746166497,-0.0907505208582847,NS
DJI,2003,-0.4184602080046008,0.32057664337449965,NS
ERI,2003,0.727379933045256,0.05924585174523547,NS
ETH,2003,-0.08622664629625675,0.20868503128014942,NS
GAB,2003,-0.4184602080046008,-0.21948003951584555,NS
GHA,2003,-0.4184602080046008,-0.18305222306039548,NS
GIN,2003,-0.4184602080046008,0.3428546797486498,NS
GMB,2003,-0.4184602080046008,-0.2489562849689394,NS
GNB,2003,-0.4184602080046008,-0.3337082464867701,NS
GNQ,2003,-0.4184602080046008,-0.4184602080046008,NS
KEN,2003,-0.39642502656377054,0.3571190217440454,NS
LBR,2003,3.2737012406466257,-0.18305222306039548,NS
LSO,2003,-0.4184602080046008,-0.4184602080046008,NS
MDG,2003,-0.4184602080046008,0,NS
MLI,2003,-0.4184602080046008,-0.27250556169322127,NS
MOZ,2003,-0.4184602080046008,-0.41341407863282514,NS
MRT,2003,-0.4184602080046008,-0.3337082464867701,NS
MWI,2003,-0.4184602080046008,-0.4184602080046008,NS
NAM,2003,-0.4184602080046008,-0.2729731187387464,NS
NER,2003,-0.4184602080046008,-0.35435832087661895,NS
NGA,2003,-0.2515124340661344,-0.38006979257924,NS
RWA,2003,-0.4184602080046008,1.5007319150692553,LH
SDN,2003,0.682424409536564,-0.006612945405629206,NS
SEN,2003,-0.2489562849689394,-0.4184602080046008,NS
SLE,2003,-0.4184602080046008,1.4276205163210125,LH
SOM,2003,1.0756512876720488,-0.24132583643001365,NS
